git_commit,timestamp,worker_count,rep,job_id,state,duration_s,makespan_s,jobs_per_min,setting_worker_heartbeat_interval,setting_worker_heartbeat_timeout,setting_scheduler_loop_interval,setting_worker_poll_interval,setting_leader_lock_ttl,setting_leader_heartbeat_interval,setting_retry_base_delay
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,8b3f3949-f051-4d3b-b1f4-b93a444acc40,COMPLETED,1.45,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,6358ba09-480f-4944-8f4a-29282754ac9b,COMPLETED,0.923,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,0a880367-1287-439a-a50c-b7d01e8a686b,COMPLETED,0.76,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,455fe8ad-f5e8-415d-9aa3-103bd7228f54,COMPLETED,0.775,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,775ebede-508c-4ac5-a90e-e68865572962,COMPLETED,0.89,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,2d6c4056-ac55-4f6c-8813-b0fe9420a695,COMPLETED,0.766,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,7f320133-8055-4c16-bbaa-290b03b99f2e,COMPLETED,0.887,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,2ead57de-d5d6-4fea-912e-db2ec1c23acf,COMPLETED,0.806,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,9360dbe3-ae16-4065-80d7-68f5d00f7892,COMPLETED,0.747,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:48:58.268562+00:00,1,1,ba2a71b1-d50a-45cc-9702-98708b2ef39a,COMPLETED,0.748,30.135,39.82,2.0,15.0,0.1,0.5,15.0,5.0,2.0
