git_commit,timestamp,worker_count,rep,job_id,state,duration_s,makespan_s,jobs_per_min,setting_worker_heartbeat_interval,setting_worker_heartbeat_timeout,setting_scheduler_loop_interval,setting_worker_poll_interval,setting_leader_lock_ttl,setting_leader_heartbeat_interval,setting_retry_base_delay
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,d02ceb04-99e3-4243-b4de-1a342a91cb48,COMPLETED,3.965,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,b949dd32-f1f1-436f-b395-457090db61a6,COMPLETED,3.967,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,0b93a551-fbe8-48b0-843f-8c0a198b1867,COMPLETED,3.969,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,802a5f0d-67be-496e-bc85-1fe8543eeec7,COMPLETED,3.987,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,d0d96bdd-7686-4b35-a40d-96c0cb8962bc,COMPLETED,0.721,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,e2873fc3-903a-4a38-9889-67557e1288af,COMPLETED,0.734,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,b73dfdf7-7c76-4716-9345-2de0b947d0e1,COMPLETED,0.887,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,4e8933cb-3e89-4d83-92bb-0749e1947fb0,COMPLETED,0.752,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,8ade09cc-6778-4786-9de0-e885e3ee9e7e,COMPLETED,0.669,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,53e4fd7c-bb5f-4561-b31a-acbf5231d192,COMPLETED,0.728,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,e8c7f364-6731-4742-9843-474a37f96a96,COMPLETED,0.672,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,b6ca3f98-6f94-47e4-86e5-50ee4c2c4dcb,COMPLETED,0.775,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:41:52.767813+00:00,1,1,cb8ef65c-c8d7-4c3c-9da2-d854b923d60c,COMPLETED,0.867,25.904,46.32,2.0,15.0,0.1,0.5,15.0,5.0,2.0
