t_s,queued,scheduled,running,completed
0.0,1,0,0,20
2.1,18,0,2,20
4.1,18,0,2,20
6.1,18,0,2,20
8.1,18,0,2,20
10.1,18,0,2,20
12.1,16,0,2,22
14.2,16,0,2,22
16.2,16,0,2,22
18.2,16,0,2,22
20.2,16,0,2,22
25.4,14,0,2,24
27.5,14,0,2,24
29.5,14,0,2,24
31.5,14,0,2,24
33.5,14,0,2,24
35.5,12,0,2,26
37.5,12,0,2,26
39.5,12,0,2,26
41.6,12,0,2,26
43.6,12,0,2,26
45.6,10,0,2,28
47.6,10,0,2,28
49.6,10,0,2,28
51.6,10,0,2,28
54.2,10,0,2,28
59.1,8,0,2,30
61.1,8,0,2,30
63.1,8,0,2,30
65.1,8,0,2,30
67.1,8,0,2,30
69.2,6,0,2,32
71.2,6,0,2,32
73.2,6,0,2,32
75.2,6,0,2,32
77.2,6,0,2,32
79.2,4,0,2,34
81.2,4,0,2,34
83.3,4,0,2,34
85.3,4,0,2,34
90.5,4,0,2,34
92.5,3,0,1,36
94.6,2,0,2,36
96.6,2,0,2,36
98.6,2,0,2,36
100.6,2,0,2,36
102.6,1,0,2,37
104.6,0,0,2,38
106.6,0,0,2,38
108.6,0,0,2,38
110.6,0,0,2,38
112.6,0,0,1,39
114.7,0,0,0,40
