t_s,queued,scheduled,running,completed
0.1,1,0,0,4
2.1,17,0,3,4
4.1,17,0,3,4
6.1,17,0,3,4
8.1,17,0,3,4
10.1,17,0,3,4
12.1,16,0,1,7
14.1,16,0,1,7
16.2,16,0,1,7
21.5,16,0,1,7
23.5,16,0,1,7
25.5,15,0,1,8
27.5,15,0,1,8
29.5,15,0,1,8
31.5,15,0,1,8
33.6,15,0,1,8
35.6,14,0,1,9
37.6,14,0,1,9
39.6,14,0,1,9
41.6,14,0,1,9
43.6,14,0,1,9
45.6,13,1,0,10
47.6,13,0,1,10
49.7,13,0,1,10
55.0,13,0,1,10
57.0,13,0,1,10
59.0,13,0,1,10
61.0,12,0,1,11
63.1,12,0,1,11
65.1,12,0,1,11
67.1,12,0,1,11
69.1,12,0,1,11
71.1,11,0,1,12
73.1,11,0,1,12
75.1,11,0,1,12
77.1,11,0,1,12
79.2,11,0,1,12
81.2,10,0,1,13
83.2,10,0,1,13
88.5,10,0,1,13
90.5,10,0,1,13
92.5,10,0,1,13
94.5,9,0,1,14
96.5,9,0,1,14
98.5,9,0,1,14
100.6,9,0,1,14
102.6,9,0,1,14
104.6,8,0,1,15
106.6,8,0,1,15
108.6,8,0,1,15
110.6,8,0,1,15
112.6,8,0,1,15
114.6,7,0,1,16
116.6,7,0,1,16
122.0,7,0,1,16
124.0,7,0,1,16
126.0,7,0,1,16
128.0,6,0,1,17
130.0,6,0,1,17
132.0,6,0,1,17
134.0,6,0,1,17
136.0,6,0,1,17
138.1,5,1,0,18
140.1,5,0,1,18
142.1,5,0,1,18
144.1,5,0,1,18
146.1,5,0,1,18
148.1,5,0,0,19
150.1,4,0,1,19
155.5,4,0,1,19
157.5,4,0,1,19
159.5,4,0,1,19
161.5,4,0,1,19
163.6,3,0,1,20
165.6,3,0,1,20
167.6,3,0,1,20
169.6,3,0,1,20
171.6,3,0,1,20
173.6,2,0,1,21
175.6,2,0,1,21
177.6,2,0,1,21
179.6,2,0,1,21
181.6,2,0,1,21
184.2,1,0,1,22
189.0,1,0,1,22
191.0,1,0,1,22
193.0,1,0,1,22
195.0,1,0,1,22
197.0,0,1,0,23
199.0,0,0,1,23
201.0,0,0,1,23
203.0,0,0,1,23
205.1,0,0,1,23
207.1,0,0,1,23
209.1,0,0,0,24
